Potential biomarker;Semantic types;Connected to number of subgraph concepts;Weight points
Nitric Oxide;Pharmacologic Substance, Biologically Active Substance, Inorganic Chemical;527;6
Glucose;Carbohydrate, Pharmacologic Substance, Biologically Active Substance;503;25
Calcium;Pharmacologic Substance, Biologically Active Substance, Element, Ion, or Isotope;484;1
Antibodies;Amino Acid, Peptide, or Protein, Immunologic Factor;483;0
Ethanol;Organic Chemicals;475;0
FAVOR;Organic Chemicals, Pharmacologic Substance, Vitamin;475;0
Insulin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;472;4
Norepinephrine;Organic Chemicals, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine;466;8
Serotonin;Organic Chemicals, Neuroreactive Substance or Biogenic Amine;454;16
Dopamine;Organic Chemicals, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine;449;2
Water;Pharmacologic Substance, Inorganic Chemical;449;0
Estrogens;Steroid, Pharmacologic Substance, Hormone;443;0
Estradiol;Steroid, Pharmacologic Substance, Hormone;436;3
Lipids;Lipid;432;0
Hydrocortisone;Steroid, Pharmacologic Substance, Hormone;428;10
Reactive Oxygen Species;Biologically Active Substance, Element, Ion, or Isotope;410;0
Peptides;Amino Acid, Peptide, or Protein;409;0
Binding Sites;Receptor;409;0
Glucocorticoids;Steroid, Hormone;400;0
Testosterone;Steroid, Pharmacologic Substance, Hormone;399;1
Interleukin-6;Amino Acid, Peptide, or Protein, Immunologic Factor;399;3
Amphetamine;Organic Chemicals, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine;396;0
Progesterone;Steroid, Pharmacologic Substance, Hormone;395;2
Interleukin-1 beta;Amino Acid, Peptide, or Protein, Immunologic Factor;395;5
Acetylcholine;Organic Chemicals, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine;393;1
Melatonin;Organic Chemicals, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine, Hormone;390;1
Sodium Chloride;Pharmacologic Substance, Biologically Active Substance, Inorganic Chemical;390;0
Adrenal Cortex Hormones;Steroid, Pharmacologic Substance, Hormone;389;0
Epinephrine;Organic Chemicals, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine, Hormone;388;2
Lipopolysaccharides;Lipid;386;0
RNA, Messenger;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;376;0
Argipressin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;375;0
Prostaglandins;Eicosanoid, Pharmacologic Substance, Biologically Active Substance;375;0
Cholesterol;Steroid, Biologically Active Substance;373;24
TNF protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;371;0
Catecholamines;Organic Chemicals, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine;370;0
Oxygen;Pharmacologic Substance, Element, Ion, or Isotope;370;0
Corticotropin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine, Hormone;367;7
Glutamate;Amino Acid, Peptide, or Protein, Biologically Active Substance;367;7
ATPase, Aminophospholipid Transporter-Like, Class I, Type 8A, Member 2;Amino Acid, Peptide, or Protein, Biologically Active Substance;367;0
Growth Factor;Amino Acid, Peptide, or Protein, Biologically Active Substance;366;0
NOS3 protein, human;Amino Acid, Peptide, or Protein, Enzyme;365;0
Protein Kinase C;Amino Acid, Peptide, or Protein, Enzyme;361;0
Endopeptidases;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;359;0
Adrenergic Receptor;Amino Acid, Peptide, or Protein, Receptor;357;0
Angiotensin II;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;355;0
Arginine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;354;2
Histamine;Organic Chemicals, Neuroreactive Substance or Biogenic Amine;353;2
Metabolite;Biologically Active Substance;352;0
Tumor Necrosis Factor-alpha;Amino Acid, Peptide, or Protein, Immunologic Factor;349;8
Prolactin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;349;7
gamma-Aminobutyric Acid;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;347;4
Neurotransmitters;Neuroreactive Substance or Biogenic Amine;346;0
Cyclosporine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;346;0
RNA;Nucleic Acid, Nucleoside, or Nucleotide;345;0
Cyclic AMP;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;345;2
Phosphotransferases;Amino Acid, Peptide, or Protein, Enzyme;345;0
Insulin-Like Growth Factor I;Amino Acid, Peptide, or Protein, Biologically Active Substance;344;0
Complement System Proteins;Amino Acid, Peptide, or Protein, Immunologic Factor;343;0
Leptin;Amino Acid, Peptide, or Protein, Hormone;342;2
Sodium;Biologically Active Substance, Element, Ion, or Isotope;342;2
Antibodies, Anti-Idiotypic;Amino Acid, Peptide, or Protein, Immunologic Factor;339;0
Growth Hormone;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;339;0
Adenosine;Nucleic Acid, Nucleoside, or Nucleotide, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine;333;1
Potassium;Element, Ion, or Isotope;333;1
